School_ID,Region,School_Type,Student_Count,Teacher_Count,Term_1_Avg,Term_2_Avg,STEM_Subject_Rate,Literacy_Rate,Failure_Risk_Index,Average_Attendance,Library_Usage_Hours,Extracurricular_Participation,LMS_Login_Frequency,Internet_Speed_Mbps,Smart_Classroom_Ratio,Lab_Equipment_Quality_Score,Teacher_Turnover_Rate,Teacher_PhD_Ratio,Professional_Development_Hours_Per_Year,Budget_Per_Student,Budget_Allocation_IT,Budget_Allocation_Scholarships,Regional_Economic_Index,Student_Wellbeing_Score,Teacher_Burnout_Index,Overall_School_Quality_Score,Teacher_to_Student_Ratio,Budget_Efficiency_Score
SCH_0001,الشرق,حكومية,2080,73,73.72,93.14,63.73,60.32,43.45,80.69,0.22,69.74,9.13,75.96,0.3,5,16.87,0.01,61.77,9427.19,0.02,0.04,0.33,5.88,1.0,59.52,0.04,6.31
SCH_0002,المركز,حكومية,1594,175,63.51,31.85,24.75,51.14,47.34,100.0,3.35,4.49,5.47,41.85,0.12,10,27.43,0.0,40.78,7092.91,0.01,0.11,0.43,3.26,1.45,44.63,0.11,6.29
SCH_0003,الشمال,حكومية,298,115,48.09,73.18,28.87,79.38,31.54,91.76,4.45,62.45,8.46,80.82,0.3,4,18.62,0.33,37.89,8708.63,0.05,0.01,0.78,8.09,7.63,56.09,0.39,6.44
SCH_0004,الجنوب,حكومية,2294,141,41.03,30.79,46.13,35.99,36.11,100.0,0.65,53.33,8.07,48.28,0.08,6,9.93,0.01,46.6,4907.64,0.1,0.01,0.36,3.79,3.72,45.31,0.06,9.23
SCH_0005,الغرب,حكومية,621,55,100.0,90.28,100.0,87.48,0.0,100.0,8.06,100.0,22.72,51.05,0.53,3,6.13,0.2,57.56,9153.9,0.12,0.08,0.69,7.38,3.32,76.99,0.09,8.41
SCH_0006,الغرب,مجتمعية,1703,172,8.85,11.98,11.55,36.89,63.11,87.81,6.59,0.0,0.0,33.5,0.34,1,19.59,0.22,60.92,4917.8,0.01,0.02,0.4,1.69,7.92,31.77,0.1,6.46
SCH_0007,الشمال,حكومية,261,71,71.04,91.11,45.41,100.0,8.37,87.06,7.17,57.74,5.05,111.29,0.39,4,0.0,0.07,57.13,6801.4,0.09,0.05,0.44,8.02,1.08,67.93,0.27,9.99
SCH_0008,المركز,خاصة,1332,191,15.0,46.63,0.0,45.47,35.8,87.8,1.13,28.49,4.82,66.35,0.02,9,19.77,0.15,33.35,4442.6,0.05,0.01,0.58,1.73,4.53,38.4,0.14,8.64
SCH_0009,الجنوب,حكومية,1902,62,53.32,55.78,80.11,56.52,37.77,90.53,2.91,48.13,6.74,44.1,0.22,4,32.75,0.14,15.37,8784.99,0.15,0.09,0.37,1.0,3.61,45.95,0.03,5.23
SCH_0010,الشمال,حكومية,797,86,82.01,74.58,74.27,91.45,14.9,100.0,10.25,54.34,9.72,81.69,0.38,1,7.31,0.22,32.9,12058.68,0.1,0.08,0.42,5.91,1.0,67.5,0.11,5.6
SCH_0011,المركز,خاصة,591,191,100.0,79.86,72.57,76.64,24.9,100.0,1.76,53.48,9.94,112.18,0.49,4,0.0,0.18,23.88,12115.63,0.09,0.1,0.54,9.16,1.0,68.85,0.32,5.68
SCH_0012,الجنوب,حكومية,1275,189,16.21,18.65,12.37,40.25,47.01,90.58,4.44,20.06,0.0,10.0,0.0,7,20.39,0.0,22.67,1728.6,0.03,0.02,0.53,4.75,4.92,29.33,0.15,16.97
SCH_0013,الغرب,خاصة,1512,70,66.49,66.22,21.45,76.68,34.97,100.0,0.04,41.02,5.9,73.95,0.43,3,0.0,0.02,51.81,4340.43,0.18,0.07,0.82,4.56,1.57,55.71,0.05,12.84
SCH_0014,الجنوب,حكومية,2229,79,68.61,23.71,66.19,64.06,29.82,74.25,0.01,54.28,12.15,10.0,0.58,10,20.19,0.23,36.08,4383.82,0.06,0.08,0.35,4.39,6.56,48.58,0.04,11.08
